"GO term"	"Gene"
"GO:0006259"	"Solyc08g081590,Solyc09g007210"
"GO:0009058"	"Solyc01g007940,Solyc01g079790,Solyc01g095080,Solyc01g098180,Solyc01g109790,Solyc02g063544,Solyc02g160100,Solyc02g160210,Solyc02g063540,Solyc02g063543,Solyc02g082900,Solyc02g091290,Solyc02g091990,Solyc03g007070,Solyc03g043890,Solyc03g096730,Solyc03g113790,Solyc03g114540,Solyc03g114550,Solyc03g120450,Solyc03g123600,Solyc03g123610,Solyc04g009350,Solyc04g015750,Solyc04g049360,Solyc04g054710,Solyc05g013380,Solyc05g025810,Solyc05g050010,Solyc06g006100,Solyc06g030590,Solyc06g034150,Solyc06g051270,Solyc06g060770,Solyc06g063090,Solyc06g072320,Solyc06g073280,Solyc06g073910,Solyc07g019440,Solyc07g026900,Solyc07g032740,Solyc07g053710,Solyc07g053720,Solyc07g055210,Solyc07g055740,Solyc07g055750,Solyc07g056140,Solyc08g008110,Solyc08g015670,Solyc08g041870,Solyc08g066020,Solyc08g068330,Solyc08g079750,Solyc08g081535,Solyc08g081550,Solyc09g011220,Solyc10g007110,Solyc10g008200,Solyc10g075170,Solyc10g079610,Solyc11g012100,Solyc11g013170,Solyc11g019950,Solyc11g044840,Solyc11g040030,Solyc11g071800,Solyc11g072090,Solyc11g072690,Solyc12g008740,Solyc12g011120,Solyc12g039070,Solyc12g088000,Solyc02g062640,Solyc02g068430,Solyc03g007970,Solyc04g008880,Solyc05g008870,Solyc05g012800,Solyc05g046300,Solyc06g051900,Solyc07g009490,Solyc09g064940,Solyc10g074700"
"GO:0005975"	"Solyc01g010250,Solyc01g095250,Solyc01g095260,Solyc01g095310,Solyc01g095470,Solyc01g097800,Solyc02g067860,Solyc02g077680,Solyc02g085100,Solyc02g087770,Solyc02g087780,Solyc02g087790,Solyc02g087800,Solyc02g087810,Solyc02g087820,Solyc03g065340,Solyc03g082580,Solyc03g113030,Solyc03g115820,Solyc03g118640,Solyc03g118650,Solyc03g118860,Solyc04g005030,Solyc04g077030,Solyc04g077040,Solyc05g007260,Solyc05g012110,Solyc05g012510,Solyc05g026490,Solyc05g050130,Solyc05g050320,Solyc06g007980,Solyc06g053200,Solyc07g005080,Solyc07g005090,Solyc07g006780,Solyc07g017900,Solyc07g066270,Solyc08g081930,Solyc09g031970,Solyc09g061860,Solyc09g074870,Solyc10g011760,Solyc11g005890,Solyc11g033288,Solyc11g042950,Solyc11g072750,Solyc11g072760,Solyc11g072830,Solyc01g005120,Solyc01g005830,Solyc01g008610,Solyc01g008620,Solyc01g008710,Solyc01g008720,Solyc01g009240,Solyc01g009640,Solyc01g010160,Solyc01g010390,Solyc01g058140,Solyc01g059965,Solyc01g060010,Solyc01g060015,Solyc01g060020,Solyc01g066070,Solyc01g079130,Solyc01g079570,Solyc01g081160,Solyc01g081170,Solyc01g081610,Solyc01g074030,Solyc01g074040,Solyc01g074050,Solyc01g074060,Solyc01g087280,Solyc01g094970,Solyc01g097000,Solyc01g099090,Solyc01g100980,Solyc01g102580,Solyc01g106650,Solyc01g109050,Solyc01g109570,Solyc01g110340,Solyc01g111340,Solyc02g014220,Solyc02g020980,Solyc02g063220,Solyc02g063373,Solyc02g063377,Solyc02g067630,Solyc02g067640,Solyc02g067650,Solyc02g069480,Solyc02g069670,Solyc02g070450,Solyc02g080290,Solyc02g080300,Solyc02g080310,Solyc02g080660,Solyc02g083980,Solyc02g084990,Solyc02g086090,Solyc02g086700,Solyc02g091830,Solyc02g091920,Solyc02g092360,Solyc03g006980,Solyc03g007940,Solyc03g007950,Solyc03g025645,Solyc03g025650,Solyc03g031730,Solyc03g031800,Solyc03g051770,Solyc03g058450,Solyc03g082900,Solyc03g083820,Solyc03g093080,Solyc03g093110,Solyc03g093120,Solyc03g093130,Solyc03g094020,Solyc03g095710,Solyc03g097707,Solyc03g098430,Solyc03g019790,Solyc03g113230,Solyc03g116500,Solyc03g116580,Solyc03g117750,Solyc03g119080,Solyc03g121070,Solyc04g007150,Solyc04g007160,Solyc04g007910,Solyc04g008210,Solyc04g008230,Solyc04g008730,Solyc04g009630,Solyc04g011720,Solyc04g011730,Solyc04g015190,Solyc04g015530,Solyc04g015560,Solyc04g025440,Solyc04g049070,Solyc04g051590,Solyc04g053120,Solyc04g064900,Solyc04g071410,Solyc04g072870,Solyc04g078930,Solyc04g080620,Solyc04g081300,Solyc04g081400,Solyc04g082090,Solyc04g082400,Solyc05g005040,Solyc05g005080,Solyc05g005680,Solyc05g006210,Solyc05g007070,Solyc05g009470,Solyc05g013720,Solyc05g013810,Solyc05g015160,Solyc05g015170,Solyc05g025500,Solyc05g046290,Solyc05g049980,Solyc05g052530,Solyc05g053700,Solyc05g054440,Solyc05g054710,Solyc06g005970,Solyc06g009200,Solyc06g009220,Solyc06g009790,Solyc06g050130,Solyc06g060100,Solyc06g060170,Solyc06g064520,Solyc06g150126,Solyc06g064537,Solyc06g066120,Solyc06g066440,Solyc06g068040,Solyc06g073710,Solyc06g073740,Solyc06g073750,Solyc06g073760,Solyc06g076170,Solyc06g076780,Solyc07g005330,Solyc07g006850,Solyc07g006860,Solyc07g008150,Solyc07g009380,Solyc07g015870,Solyc07g017730,Solyc07g041650,Solyc07g042160,Solyc07g044870,Solyc07g049300,Solyc07g049370,Solyc07g052980,Solyc07g053920,Solyc07g055990,Solyc07g056000,Solyc07g056290,Solyc07g063370,Solyc07g063390,Solyc07g063880,Solyc07g064830,Solyc07g064870,Solyc08g014480,Solyc08g014540,Solyc08g014560,Solyc08g044510,Solyc08g042020,Solyc08g022050,Solyc08g060970,Solyc08g066810,Solyc08g074390,Solyc08g075530,Solyc08g076080,Solyc08g081480,Solyc08g081720,Solyc08g082170,Solyc08g082250,Solyc08g083210,Solyc08g083310,Solyc09g008320,Solyc09g010210,Solyc09g057630,Solyc09g064800,Solyc09g075060,Solyc09g075070,Solyc09g075360,Solyc09g075460,Solyc09g092520,Solyc10g005350,Solyc10g008300,Solyc10g045240,Solyc10g047030,Solyc10g047570,Solyc10g047590,Solyc10g055370,Solyc10g074920,Solyc10g078510,Solyc10g079860,Solyc10g080210,Solyc11g008060,Solyc11g008720,Solyc11g008810,Solyc11g008820,Solyc11g010350,Solyc11g012030,Solyc11g012190,Solyc11g017450,Solyc11g044910,Solyc11g040340,Solyc11g040330,Solyc11g040140,Solyc11g065220,Solyc11g065280,Solyc11g065290,Solyc11g065300,Solyc11g065600,Solyc11g066270,Solyc11g068440,Solyc11g069010,Solyc11g071520,Solyc11g071640,Solyc11g071650,Solyc11g072230,Solyc12g006293,Solyc12g006313,Solyc12g007250,Solyc12g007260,Solyc12g007270,Solyc12g008510,Solyc12g008580,Solyc12g009210,Solyc12g009420,Solyc12g011023,Solyc12g011030,Solyc12g013770,Solyc12g014420,Solyc12g017240,Solyc12g017920,Solyc12g019120,Solyc12g019130,Solyc12g019140,Solyc12g019180,Solyc12g019220,Solyc12g019230,Solyc12g019890,Solyc12g040640,Solyc12g040860,Solyc12g055840,Solyc12g055970,Solyc12g055980,Solyc12g056960,Solyc12g096600,Solyc12g096610,Solyc12g096730,Solyc12g096740,Solyc12g096750,Solyc12g098560,Solyc12g098603"
"GO:0016049"	"Solyc01g065530,Solyc01g103860,Solyc01g103877,Solyc01g111050,Solyc02g065765,Solyc02g089120,Solyc02g089130,Solyc03g070440,Solyc03g070460,Solyc03g114880,Solyc03g114890,Solyc03g114900,Solyc07g064200,Solyc09g075540,Solyc10g006450"
"GO:0015979"	"Solyc01g087520,Solyc10g045230,Solyc00g500026,Solyc00g500064,Solyc00g500072,Solyc00g500083,Solyc01g067760,Solyc05g025600,Solyc07g066150,Solyc08g006930,Solyc08g013670,Solyc09g064400,Solyc09g064580,Solyc11g006675,Solyc00g500019,Solyc00g500056,Solyc00g500057,Solyc00g500074,Solyc00g500127,Solyc00g500138,Solyc00g500139,Solyc00g500155,Solyc00g500199,Solyc00g500208,Solyc00g500209,Solyc01g017300,Solyc01g017320,Solyc01g017330,Solyc01g102770,Solyc02g020960,Solyc02g069450,Solyc02g069460,Solyc03g120640,Solyc04g039810,Solyc05g020010,Solyc06g009940,Solyc06g009950,Solyc06g054260,Solyc06g066640,Solyc06g082940,Solyc06g082950,Solyc06g083680,Solyc06g084050,Solyc07g021230,Solyc07g021240,Solyc07g021250,Solyc07g066310,Solyc08g074307,Solyc09g015290,Solyc09g015300,Solyc09g015320,Solyc09g015340,Solyc09g059640,Solyc09g063130,Solyc09g064500,Solyc09g065910,Solyc10g017890,Solyc10g017900,Solyc10g017910,Solyc10g017950,Solyc10g045220,Solyc11g050770,Solyc12g017250,Solyc12g062590,Solyc12g062600,Solyc12g062610,Solyc12g032960,Solyc12g032970,Solyc12g032980,Solyc12g033000,Solyc12g033040,Solyc12g033060,Solyc12g033070,Solyc12g035580,Solyc12g035740,Solyc12g044280,Solyc01g087040,Solyc01g106090,Solyc02g079950,Solyc03g114930,Solyc04g009420,Solyc04g064670,Solyc05g007780,Solyc06g065490,Solyc07g044860,Solyc08g067840,Solyc10g006530,Solyc10g054420,Solyc11g008480,Solyc12g094720"
"GO:0006629"	"Solyc01g006430,Solyc01g009870,Solyc01g067380,Solyc01g079600,Solyc01g090220,Solyc01g094570,Solyc01g095720,Solyc01g104310,Solyc01g110460,Solyc02g014530,Solyc02g032850,Solyc02g065100,Solyc02g067660,Solyc02g068070,Solyc02g068920,Solyc02g069400,Solyc02g076990,Solyc02g077000,Solyc02g077010,Solyc02g077030,Solyc02g077100,Solyc02g077140,Solyc02g077150,Solyc02g077160,Solyc02g077420,Solyc02g080340,Solyc02g080880,Solyc02g090490,Solyc02g090630,Solyc02g090640,Solyc02g090660,Solyc02g090920,Solyc02g090930,Solyc02g094040,Solyc03g005020,Solyc03g005280,Solyc03g025510,Solyc03g044710,Solyc03g058430,Solyc03g083370,Solyc03g116730,Solyc03g121960,Solyc03g122280,Solyc03g123750,Solyc04g040130,Solyc04g040120,Solyc04g078800,Solyc04g079240,Solyc04g079250,Solyc04g079260,Solyc05g050090,Solyc05g050710,Solyc05g051280,Solyc05g053750,Solyc05g053910,Solyc05g053920,Solyc05g054490,Solyc05g056030,Solyc06g007130,Solyc06g007140,Solyc06g051400,Solyc06g054550,Solyc06g060870,Solyc06g069470,Solyc06g071280,Solyc06g074680,Solyc06g083920,Solyc07g005510,Solyc07g041210,Solyc07g051850,Solyc07g055160,Solyc07g065120,Solyc08g006850,Solyc08g006860,Solyc08g007225,Solyc08g023410,Solyc08g022240,Solyc08g063090,Solyc08g078090,Solyc08g082450,Solyc09g042700,Solyc09g056350,Solyc09g065240,Solyc09g065890,Solyc09g072710,Solyc09g082760,Solyc09g091050,Solyc09g098450,Solyc09g098460,Solyc10g009030,Solyc10g011810,Solyc10g011820,Solyc10g038170,Solyc10g079410,Solyc10g079770,Solyc10g080690,Solyc10g085430,Solyc10g086500,Solyc11g006270,Solyc11g006290,Solyc11g006300,Solyc11g008550,Solyc11g011120,Solyc11g032200,Solyc11g045040,Solyc11g065530,Solyc11g066710,Solyc12g010910,Solyc12g014570,Solyc12g036490,Solyc12g038160,Solyc12g044950,Solyc12g045035,Solyc12g045037,Solyc12g049030,Solyc12g055730,Solyc12g088800,Solyc12g098730,Solyc12g100230,Solyc12g100250,Solyc03g096070,Solyc05g052760,Solyc06g007120,Solyc06g051620,Solyc06g082000,Solyc10g076710"
"GO:0006139"	"Solyc01g060200,Solyc01g100270,Solyc01g100670,Solyc01g100680,Solyc01g103460,Solyc03g082850,Solyc03g121250,Solyc07g052340,Solyc07g064330,Solyc08g007350,Solyc08g065880,Solyc08g078620,Solyc09g092340,Solyc10g078200,Solyc11g006480,Solyc12g042390,Solyc12g094540,Solyc03g120200,Solyc06g008970,Solyc06g066670,Solyc10g079510"
"GO:0007275"	"Solyc01g010240,Solyc01g091010,Solyc05g005240,Solyc05g012050,Solyc06g073920,Solyc07g008180,Solyc08g079100,Solyc11g071810,Solyc12g009580,Solyc00g032030,Solyc01g006190,Solyc01g096020,Solyc02g069880,Solyc03g043600,Solyc05g050580,Solyc06g051980,Solyc10g009420,Solyc10g080570"
"GO:0006412"	"Solyc08g082880,Solyc02g031970,Solyc02g064670,Solyc02g086730,Solyc02g086740,Solyc02g088760,Solyc02g092300,Solyc02g092430,Solyc03g044000,Solyc03g013610,Solyc09g010030,Solyc11g071530,Solyc00g500030,Solyc00g500031,Solyc00g500032,Solyc00g500035,Solyc00g500036,Solyc00g500039,Solyc00g500061,Solyc00g500066,Solyc00g500075,Solyc00g500076,Solyc00g500077,Solyc00g500079,Solyc00g500080,Solyc00g500082,Solyc00g500150,Solyc00g500152,Solyc00g500153,Solyc00g500156,Solyc00g500297,Solyc00g500298,Solyc01g017450,Solyc01g058190,Solyc01g068530,Solyc02g021365,Solyc02g068090,Solyc02g070570,Solyc02g070640,Solyc02g070650,Solyc02g082000,Solyc02g082500,Solyc02g084380,Solyc02g085280,Solyc02g092080,Solyc03g034190,Solyc03g058210,Solyc03g063780,Solyc03g097900,Solyc03g110930,Solyc03g111230,Solyc03g114050,Solyc03g115360,Solyc03g119380,Solyc03g121370,Solyc04g008460,Solyc04g017680,Solyc04g026100,Solyc04g050340,Solyc04g050360,Solyc04g050365,Solyc04g050380,Solyc04g050390,Solyc04g050400,Solyc04g050403,Solyc04g050430,Solyc04g150158,Solyc04g150159,Solyc04g077130,Solyc05g005690,Solyc05g008010,Solyc05g009570,Solyc05g023730,Solyc05g026217,Solyc05g045760,Solyc05g045780,Solyc05g045820,Solyc05g045840,Solyc05g045920,Solyc05g053670,Solyc05g054990,Solyc06g005110,Solyc06g007210,Solyc06g007520,Solyc06g008140,Solyc06g008170,Solyc06g011510,Solyc06g035600,Solyc06g053210,Solyc06g060400,Solyc06g064630,Solyc06g071870,Solyc06g071880,Solyc06g072490,Solyc06g073310,Solyc06g075180,Solyc06g082650,Solyc06g082670,Solyc06g083780,Solyc07g025457,Solyc07g061900,Solyc07g062190,Solyc07g063890,Solyc08g008590,Solyc08g014550,Solyc08g016180,Solyc08g036417,Solyc08g044243,Solyc08g061955,Solyc08g074700,Solyc08g075410,Solyc08g075720,Solyc08g082690,Solyc09g005720,Solyc09g007250,Solyc09g007350,Solyc09g010100,Solyc09g050063,Solyc09g050064,Solyc09g050065,Solyc09g050066,Solyc09g050067,Solyc09g056130,Solyc09g056380,Solyc09g057940,Solyc09g072865,Solyc09g082520,Solyc09g083370,Solyc09g090610,Solyc09g091740,Solyc09g092090,Solyc10g006580,Solyc10g006910,Solyc10g012217,Solyc10g047150,Solyc10g054060,Solyc10g080160,Solyc10g084310,Solyc10g084350,Solyc10g084610,Solyc10g086010,Solyc10g086020,Solyc10g086330,Solyc11g011140,Solyc11g018560,Solyc11g065670,Solyc11g069440,Solyc12g005330,Solyc12g008720,Solyc12g014390,Solyc12g035810,Solyc12g035860,Solyc12g038950,Solyc12g038985,Solyc12g039120,Solyc12g044730,Solyc12g088730,Solyc12g096700,Solyc12g098940,Solyc12g099025,Solyc12g100160,Solyc00g180440,Solyc00g500029,Solyc00g500044,Solyc00g500051,Solyc00g500134,Solyc00g500190,Solyc00g500204,Solyc00g500291,Solyc00g160110,Solyc00g500362,Solyc00g500363,Solyc01g008080,Solyc01g008090,Solyc01g008340,Solyc01g017085,Solyc01g017530,Solyc01g056780,Solyc01g058530,Solyc01g066840,Solyc01g088470,Solyc01g091220,Solyc01g094560,Solyc01g097870,Solyc01g099830,Solyc01g103510,Solyc01g104590,Solyc01g111810,Solyc02g021400,Solyc02g070310,Solyc02g150130,Solyc02g077990,Solyc02g087930,Solyc03g005180,Solyc03g083530,Solyc03g096360,Solyc03g019780,Solyc03g112850,Solyc03g117320,Solyc03g119360,Solyc03g120780,Solyc03g123940,Solyc04g008810,Solyc04g010100,Solyc04g010240,Solyc04g016390,Solyc04g056530,Solyc04g057860,Solyc04g063290,Solyc04g074300,Solyc04g074900,Solyc04g074910,Solyc04g079380,Solyc05g007560,Solyc05g007910,Solyc05g051000,Solyc05g052800,Solyc05g052810,Solyc05g053440,Solyc05g055230,Solyc05g055640,Solyc06g007470,Solyc06g007670,Solyc06g008260,Solyc06g009210,Solyc06g036050,Solyc06g051200,Solyc06g062760,Solyc06g066190,Solyc06g066660,Solyc06g068710,Solyc06g069090,Solyc06g071530,Solyc06g072120,Solyc06g072900,Solyc06g073300,Solyc06g073430,Solyc06g073790,Solyc06g073800,Solyc06g075620,Solyc06g082750,Solyc06g082760,Solyc06g082870,Solyc06g083820,Solyc06g084230,Solyc07g005050,Solyc07g006000,Solyc07g008270,Solyc07g008660,Solyc07g021280,Solyc07g042840,Solyc07g043360,Solyc07g045390,Solyc07g063960,Solyc08g006040,Solyc08g006840,Solyc08g006900,Solyc08g007140,Solyc08g028890,Solyc08g028880,Solyc08g067950,Solyc08g068180,Solyc08g068220,Solyc08g074240,Solyc08g075700,Solyc08g075850,Solyc08g076340,Solyc08g077710,Solyc08g077720,Solyc08g078010,Solyc09g031760,Solyc09g050030,Solyc09g061610,Solyc09g064410,Solyc09g065330,Solyc09g066430,Solyc09g075150,Solyc09g075155,Solyc09g075430,Solyc10g018250,Solyc10g061970,Solyc10g078630,Solyc10g078960,Solyc10g080590,Solyc10g150146,Solyc10g084700,Solyc11g006690,Solyc11g008710,Solyc11g012110,Solyc11g020150,Solyc11g020350,Solyc11g020490,Solyc11g020877,Solyc11g063440,Solyc11g063660,Solyc11g063720,Solyc11g068820,Solyc11g071320,Solyc11g072260,Solyc12g008700,Solyc12g009380,Solyc12g010350,Solyc12g062630,Solyc12g062640,Solyc12g042080,Solyc12g096150,Solyc12g096300,Solyc12g098890,Solyc00g500113,Solyc03g078290,Solyc05g005880,Solyc06g073370,Solyc07g062870,Solyc10g018953,Solyc11g005680"
"GO:0007165"	"Solyc01g008770,Solyc01g096360,Solyc03g093430,Solyc04g076140,Solyc06g084450,Solyc09g009970,Solyc09g074340,Solyc11g039835,Solyc11g064880,Solyc11g068520,Solyc12g009570,Solyc12g077370,Solyc01g102880,Solyc01g111790,Solyc02g032200,Solyc02g032250,Solyc02g067980,Solyc02g078680,Solyc02g093800,Solyc04g025590,Solyc05g014340,Solyc05g024360,Solyc05g024377,Solyc05g055530,Solyc06g065690,Solyc07g049220,Solyc07g052780,Solyc07g055390,Solyc07g063360,Solyc09g008400,Solyc10g083920,Solyc11g062150,Solyc12g006920,Solyc12g096900,Solyc12g097000,Solyc12g097020,Solyc03g096070,Solyc05g052760,Solyc06g007120,Solyc06g051620,Solyc06g082000,Solyc10g076710"
